Variable,Bin,N,Bad
A,1,3184285,13380
A,2,497051,3408
A,3,276843,7111
B,1,2841461,7957
B,2,986414,9906
B,3,130304,6036
C,1,3196577,13598
C,2,452554,3523
C,3,168163,3136
C,4,140885,3642
D,1,804885,2904
D,2,1531642,8883
D,3,1621652,12112
E,1,2575893,10466
E,2,584952,2669
E,3,797334,10764
F,1,469768,1114
F,2,2180873,7249
F,3,626156,3835
F,4,577578,8082
F,5,103804,3619
