Variable,Bin,N,Bad
A,1,4522324,7681
A,2,774007,2941
A,3,501583,6292
B,1,4244180,4968
B,2,1341768,6658
B,3,211966,5288
C,1,4141328,6505
C,2,881368,2600
C,3,455374,3585
C,4,319844,4224
D,1,1265243,2571
D,2,2525212,7643
D,3,2007459,6700
E,1,4055849,5711
E,2,542737,1530
E,3,1199328,9673
F,1,664808,324
F,2,3430105,4355
F,3,892497,2975
F,4,717223,6498
F,5,93281,2762
